"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "XML", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/profile/components/AddCompanyModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 13, 36, 222
"/Users/nssanjeev/Documents/cosmi/app/profile/components/CompanyLogoUploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 2, 14, 74
"/Users/nssanjeev/Documents/cosmi/app/profile/components/DeleteCompanyModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 7, 54
"/Users/nssanjeev/Documents/cosmi/app/profile/components/EditCompanyModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 149, 0, 12, 28, 189
"/Users/nssanjeev/Documents/cosmi/app/profile/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 311, 0, 14, 62, 387
"/Users/nssanjeev/Documents/cosmi/app/providers/AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 14, 55, 238
"/Users/nssanjeev/Documents/cosmi/app/providers/InvoiceProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 367, 0, 44, 137, 548
"/Users/nssanjeev/Documents/cosmi/app/providers/PayPalProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"/Users/nssanjeev/Documents/cosmi/app/providers/ToastProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 2, 11, 63
"/Users/nssanjeev/Documents/cosmi/app/signin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 184, 0, 11, 24, 219
"/Users/nssanjeev/Documents/cosmi/app/signout/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 1, 5, 25
"/Users/nssanjeev/Documents/cosmi/app/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 160, 0, 5, 29, 194
"/Users/nssanjeev/Documents/cosmi/app/test-auth/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/nssanjeev/Documents/cosmi/app/test-firebase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 1, 3, 23
"/Users/nssanjeev/Documents/cosmi/app/test-firestore/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
"/Users/nssanjeev/Documents/cosmi/app/utils/currency.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/nssanjeev/Documents/cosmi/eslint.config.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/nssanjeev/Documents/cosmi/global.d.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/Users/nssanjeev/Documents/cosmi/lib/currency.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/nssanjeev/Documents/cosmi/lib/date.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/nssanjeev/Documents/cosmi/lib/emailTemplates.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/nssanjeev/Documents/cosmi/lib/firebase-admin.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/nssanjeev/Documents/cosmi/lib/firebase.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"/Users/nssanjeev/Documents/cosmi/lib/invoiceLimits.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/nssanjeev/Documents/cosmi/lib/razorpay.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/nssanjeev/Documents/cosmi/lib/recurring.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
